id,x1_Excellent_Food,x2_Attractive_Interior,x3_Generous_Portions,x4_Tastes,x5_Value,x6_Friendly_employees,x7_Clean_Neat,x8_Fun_place,x9_Menu_variety,x10_Reasonable_prices,x11_Courteous_employees,x12_Competent_employees,x13_Food_quality,x14_Atomsphere,x15_Price,x16_Employee,x17_Satisfaction,x18_Return_future,x19_Recommend_Friend,x20_Frequency_patronage,X21_SAWA,X22_ADVW,X23_ADRT,X24_LGCU,X25_GEND,X26_AGE,X27_INC,X28_COMP
2,6,5,3,4,4,4,5,4,4,4,3.90,3,4,2,1,3,4,3,4,3,1,1,3,11,1,35,40,0
4,3,4,5,3,3,2,5,4,3,5,2.00,1,3,4,2,1,3,3,4,2,0,#NULL!,#NULL!,3,1,50,141,0
6,5,4,3,3,3,2,3,3,6,3,2.00,1,4,3,1,2,3,3,3,1,1,2,6,11,1,50,140,0
7,4,5,3,5,4,1,4,4,6,4,1.00,1,3,4,2,1,4,5,4,1,1,3,5,7,1,55,96,0
8,6,6,2,6,6,4,5,4,4,3,2.00,2,3,4,1,2,6,6,6,3,1,2,6,20,0,26,67,0
11,6,7,3,6,6,4,5,5,6,4,2.00,2,4,3,1,2,6,6,6,3,1,1,3,59,0,40,71,0
12,5,5,5,5,5,2,4,3,5,5,1.00,1,3,2,1,4,5,5,5,2,1,3,6,8,0,53,87,0
16,6,6,2,6,6,5,5,4,6,4,2.00,3,4,3,1,2,6,6,6,3,1,1,4,57,0,42,53,0
21,3,5,5,3,4,4,5,3,4,5,1.00,1,2,3,1,4,4,3,3,1,1,2,6,4,0,54,132,0
23,6,5,5,5,5,4,5,4,7,6,3.00,2,4,3,2,1,6,5,5,3,1,1,4,58,0,49,58,0
25,3,4,3,3,3,4,4,4,5,5,3.00,2,3,4,1,2,3,3,3,1,1,1,4,7,0,73,81,0
26,5,6,5,5,5,4,5,5,5,4,4.00,2,3,2,1,4,6,5,5,3,1,3,5,33,0,37,64,0
27,7,7,5,5,5,4,5,4,7,5,3.00,2,4,2,1,3,6,5,5,3,1,1,4,47,0,43,61,0
28,5,3,3,5,3,4,2,3,5,5,2.00,2,3,4,2,1,4,3,3,2,1,1,4,6,1,59,144,0
30,6,4,2,4,3,2,4,4,6,3,3.00,2,4,3,1,2,4,4,3,2,0,#NULL!,#NULL!,11,1,57,36,0
31,4,4,7,4,5,2,6,3,6,6,2.00,1,3,4,2,1,4,4,3,1,1,1,4,6,1,51,48,0
32,6,5,4,5,5,4,3,4,5,5,1.00,1,4,2,1,3,5,5,4,2,0,#NULL!,#NULL!,7,0,44,71,0
33,4,5,4,4,4,4,6,3,4,5,2.00,1,3,4,2,1,4,4,4,1,1,3,7,10,1,50,72,0
35,4,4,4,4,4,2,4,3,4,4,1.00,2,3,4,1,2,4,4,4,1,1,2,7,8,0,52,78,0
36,4,5,4,6,4,2,4,3,7,5,1.00,1,4,2,3,1,4,4,4,1,1,1,4,7,0,57,136,0
37,6,6,4,6,6,3,6,4,6,4,2.00,2,4,3,1,2,6,6,6,3,1,1,4,15,0,34,63,0
40,3,6,1,3,3,3,4,4,4,3,3.00,1,3,4,1,2,4,3,3,1,1,1,3,9,0,52,127,0
45,6,5,3,6,4,5,6,4,6,3,2.00,3,4,2,3,1,4,4,3,2,1,1,3,30,1,18,36,0
51,5,5,4,5,4,2,3,3,5,4,2.00,1,4,3,1,2,6,5,4,3,1,1,4,57,0,47,65,0
54,4,5,4,4,4,2,6,4,6,4,1.00,1,3,4,2,1,4,4,4,2,1,1,4,4,1,56,44,0
59,7,5,3,7,3,2,7,5,7,5,2.00,2,4,3,2,1,5,5,4,3,1,3,5,28,1,27,37,0
63,4,5,4,7,4,3,5,4,7,3,2.00,1,4,3,1,2,4,4,4,1,1,2,6,5,0,59,131,0
64,6,4,4,6,4,4,4,1,7,4,1.00,1,4,3,2,1,4,4,3,2,1,1,4,3,0,50,140,0
65,4,4,4,4,4,2,4,3,6,5,2.00,1,4,3,2,1,4,4,4,2,0,#NULL!,#NULL!,8,0,62,138,0
67,4,4,4,4,3,4,4,3,6,6,3.00,3,3,4,1,2,4,4,3,1,1,3,6,12,1,52,108,0
68,4,5,3,4,4,3,4,4,4,4,3.00,2,3,4,1,2,4,3,3,1,1,1,4,23,1,66,125,0
69,4,6,4,6,2,2,5,5,6,3,2.00,1,4,3,1,2,4,4,4,1,1,3,6,7,1,53,76,0
71,7,5,4,7,4,4,6,3,7,5,3.00,2,4,3,1,2,7,5,5,3,1,3,6,25,0,48,73,0
72,4,4,1,4,4,2,3,2,4,4,1.00,1,3,4,2,1,4,4,4,1,1,1,5,9,1,51,40,0
